num_edge,win_rate,error
99,0.61776,0.0021731662725157502
100,0.62226,0.0021681904547340854
101,0.61974,0.0021710013007826597
102,0.62342,0.0021668756475626376
103,0.62212,0.002168348245093486
104,0.62474,0.002165363398600798
105,0.62696,0.00216278135002131
106,0.62438,0.0021657775305880334
107,0.62598,0.002163927168829857
108,0.63234,0.0021563215177704833
109,0.62946,0.0021598153087706365
110,0.62706,0.002162663896216886
111,0.62538,0.0021646240116934856
112,0.63348,0.0021549157273545523
113,0.634,0.002154270178041742
114,0.63116,0.002157762982350008
115,0.63144,0.0021574221951208344
116,0.6265,0.0021633203646247126
117,0.63442,0.0021537467984886244
118,0.6324,0.0021562478521728436
119,0.63874,0.002148260749536704
120,0.6384,0.002148699327500244
121,0.63472,0.0021533718749904766
122,0.634,0.002154270178041742
123,0.63998,0.0021466513438376526
124,0.63574,0.00215209039029498
125,0.6439,0.0021414611367008276
126,0.6378,0.002149470446412325
127,0.63902,0.002147898692210599
128,0.64288,0.0021428266640118143
129,0.64152,0.0021446309220935897
130,0.64358,0.0021418906769487558
131,0.64238,0.0021434921767993463
132,0.64328,0.002142292424483642
133,0.64314,0.002142479593368394
134,0.64126,0.0021449737173214966
135,0.64344,0.0021420782730796743
136,0.64202,0.0021439697740406696
137,0.64394,0.0021414073708661786
138,0.64412,0.0021411652229568834
139,0.64568,0.002139052769802559
140,0.64918,0.0021342227044055173
141,0.649,0.002134474174123454
142,0.64954,0.002133718764973491
143,0.6517,0.0021306670786399268
144,0.65042,0.0021324812946424644
145,0.65048,0.0021323966310234127
146,0.65166,0.00213072402905679
147,0.65374,0.0021277406439695603
148,0.65142,0.00213106538426206
149,0.65332,0.002128346671010153
150,0.65156,0.00213086633273887
151,0.65198,0.0021302679624873484
152,0.65058,0.002132255442483381
153,0.65168,0.002130695555915955
154,0.6558,0.002124741678416461
155,0.65796,0.002121549614786324
156,0.6571,0.002122826370667182
157,0.65724,0.0021226190539048685
158,0.66142,0.002116334489630597
159,0.65632,0.0021239776721990278
160,0.66114,0.0021167612071275304
161,0.65916,0.0021197551481244243
162,0.65942,0.0021193643556500614
163,0.66038,0.002117915274981509
164,0.66154,0.002116151357535656
165,0.659,0.0021199952830136203
166,0.66104,0.0021169134058813084
167,0.6621,0.0021152947312372337
168,0.65948,0.002119274071940673
169,0.6606,0.00211758182840711
170,0.66202,0.002115417309185117
171,0.66264,0.0021144655608451037
172,0.66588,0.002109425635570024
173,0.66154,0.002116151357535656
174,0.66608,0.002109110872382009
175,0.66286,0.002114126866581095
176,0.6683,0.002105588326335421
177,0.66518,0.0021105239520081264
178,0.66182,0.0021157234582997848
179,0.6679,0.0021062269108526746
180,0.66774,0.002106481865101145
181,0.67116,0.002100972414859367
182,0.6741,0.002096135444097065
183,0.67042,0.002102175176335217
184,0.67068,0.00210175325668833
185,0.66764,0.0021066410724183654
186,0.66924,0.00210408090338751
187,0.67074,0.00210165578723063
188,0.67016,0.0021025963683027706
189,0.67104,0.002101167858120812
190,0.67284,0.002098219885522011
191,0.67162,0.00210022177686072
192,0.67662,0.0020919147955880037
193,0.671,0.002101232971376568
194,0.67414,0.002096068989322632
195,0.67324,0.002097560022502336
196,0.67114,0.0021010049995180877
197,0.67748,0.0020904585602206996
198,0.6766,0.0020919485653332873
199,0.67424,0.0020959027763710796
200,0.6756,0.0020936314861980847
